"Year","Rank","DonorName","DonorNameWithFlag","Iso3","Iso2","Earmarked","UnEarmarked","Total"
2008,"1","Sweden",":se: Sweden","swe","se","13207678","12540749","25748427"
2008,"2","Norway",":no: Norway","nor","no","6921313","9809127","16730440"
2008,"3","United Kingdom",":gb: United Kingdom","gbr","gb","3721692","10786749","14508441"
2008,"4","United States",":us: United States","usa","us","10629662","3225700","13855362"
2008,"5","European Commission","European Commission","eu","","11569296","0","11569296"
2008,"6","Ireland",":ie: Ireland","irl","ie","4825999","2336449","7162448"
2008,"7","Australia",":au: Australia","aus","au","2507487","3841600","6349087"
2008,"8","Canada",":ca: Canada","can","ca","5268762","972857","6241619"
2008,"9","Netherlands",":nl: Netherlands","nld","nl","3107961","2785817","5893778"
2008,"10","Multi-Donor Funds","Multi-Donor Funds","a","","4636740","0","4636740"
2008,"11","Spain",":es: Spain","esp","es","4362176","0","4362176"
2008,"12","Finland",":fi: Finland","fin","fi","0","3844081","3844081"
2008,"13","Switzerland",":ch: Switzerland","che","ch","3148800","598201","3747001"
2008,"14","New Zealand",":nz: New Zealand","nzl","nz","0","3407763","3407763"
2008,"15","Japan",":jp: Japan","jpn","jp","464125","2023806","2487931"
2008,"16","Germany",":de: Germany","deu","de","1478910","813609","2292519"
2008,"17","Denmark",":dk: Denmark","dnk","dk","0","1992945","1992945"
2008,"18","Luxembourg",":lu: Luxembourg","lux","lu","653417","1313382","1966799"
2008,"19","France",":fr: France","fra","fr","35378","1479290","1514668"
2008,"20","Belgium",":be: Belgium","bel","be","540155","776194","1316349"
2008,"21","United Arab Emirates",":ae: United Arab Emirates","are","ae","849960","0","849960"
2008,"22","Korea, Republic of",":kr: Korea, Republic of","kor","kr","700000","0","700000"
2008,"23","UN, NGOs and other entities","UN, NGOs and other entities","un","","659570","0","659570"
2008,"24","Morocco",":ma: Morocco","mar","ma","500000","0","500000"
2008,"24","Türkiye",":tr: Türkiye","tur","tr","500000","0","500000"
2008,"26","Austria",":at: Austria","aut","at","107272","94637","201909"
2008,"27","Italy",":it: Italy","ita","it","188502","0","188502"
2008,"28","Iceland",":is: Iceland","isl","is","139341","0","139341"
2008,"29","Czech Republic",":cz: Czech Republic","cze","cz","0","138487","138487"
2008,"30","Private Contributions","Private Contributions","pri_con","","85863","0","85863"
2008,"31","Malta",":mt: Malta","mlt","mt","69984","0","69984"
2008,"32","Singapore",":sg: Singapore","sgp","sg","30000","20000","50000"
2008,"33","Monaco",":mc: Monaco","mco","mc","0","38772","38772"
2008,"34","Lithuania",":lt: Lithuania","ltu","lt","31949","0","31949"
2008,"35","Latvia",":lv: Latvia","lva","lv","31104","0","31104"
2008,"36","Slovenia",":si: Slovenia","svn","si","0","25000","25000"
2008,"37","Greece",":gr: Greece","grc","gr","0","21459","21459"
2008,"38","Estonia",":ee: Estonia","est","ee","0","18705","18705"
2008,"39","Philippines",":ph: Philippines","phl","ph","15742","0","15742"
2008,"40","Chile",":cl: Chile","chl","cl","10000","0","10000"
2008,"41","South Africa",":za: South Africa","zaf","za","6154","0","6154"
2009,"1","Sweden",":se: Sweden","swe","se","11659543","10712880","22372423"
2009,"2","United Kingdom",":gb: United Kingdom","gbr","gb","6717258","12831157","19548415"
2009,"3","United States",":us: United States","usa","us","14752596","3000001","17752597"
2009,"4","European Commission","European Commission","eu","","17695239","0","17695239"
2009,"5","Norway",":no: Norway","nor","no","3471532","7006432","10477964"
2009,"6","Netherlands",":nl: Netherlands","nld","nl","3367353","3941146","7308499"
2009,"7","Canada",":ca: Canada","can","ca","5840522","807037","6647559"
2009,"8","Finland",":fi: Finland","fin","fi","274822","5725433","6000255"
2009,"9","Australia",":au: Australia","aus","au","2417905","3246000","5663905"
2009,"10","Ireland",":ie: Ireland","irl","ie","3445786","1450362","4896148"
2009,"11","Switzerland",":ch: Switzerland","che","ch","2536264","1210801","3747065"
2009,"12","New Zealand",":nz: New Zealand","nzl","nz","0","3487070","3487070"
