"Year","Rank","DonorName","DonorNameWithFlag","Iso3","Iso2","Earmarked","UnEarmarked","Total"
2009,"1","Sweden",":se: Sweden","swe","se","11659543","10712880","22372423"
2009,"2","United Kingdom",":gb: United Kingdom","gbr","gb","6717258","12831157","19548415"
2009,"3","United States",":us: United States","usa","us","14752596","3000001","17752597"
2009,"4","European Commission",":eu: European Commission","eu","eu","17695239","0","17695239"
2009,"5","Norway",":no: Norway","nor","no","3471532","7006432","10477964"
2009,"6","Netherlands",":nl: Netherlands","nld","nl","3367353","3941146","7308499"
2009,"7","Canada",":ca: Canada","can","ca","5840522","807037","6647559"
2009,"8","Finland",":fi: Finland","fin","fi","274822","5725433","6000255"
2009,"9","Australia",":au: Australia","aus","au","2417905","3246000","5663905"
2009,"10","Ireland",":ie: Ireland","irl","ie","3445786","1450362","4896148"
2009,"11","Switzerland",":ch: Switzerland","che","ch","2536264","1210801","3747065"
2009,"12","New Zealand",":nz: New Zealand","nzl","nz","0","3487070","3487070"
2009,"13","Spain",":es: Spain","esp","es","3181638","0","3181638"
2009,"14","Germany",":de: Germany","deu","de","1772214","1331163","3103377"
2009,"15","Belgium",":be: Belgium","bel","be","1433284","1406469","2839753"
2009,"16","Italy",":it: Italy","ita","it","2532533","0","2532533"
2009,"17","Denmark",":dk: Denmark","dnk","dk","751796","1740177","2491973"
2009,"18","Japan",":jp: Japan","jpn","jp","450000","2037933","2487933"
2009,"20","France",":fr: France","fra","fr","0","1278772","1278772"
2009,"21","Luxembourg",":lu: Luxembourg","lux","lu","0","924394","924394"
2009,"22","Türkiye",":tr: Türkiye","tur","tr","700000","0","700000"
2009,"23","Korea, Republic of",":kr: Korea, Republic of","kor","kr","0","300000","300000"
2009,"24","United Arab Emirates",":ae: United Arab Emirates","are","ae","0","299975","299975"
2009,"26","Iceland",":is: Iceland","isl","is","100000","71000","171000"
2009,"27","Austria",":at: Austria","aut","at","76592","86331","162923"
2009,"28","Singapore",":sg: Singapore","sgp","sg","49975","20000","69975"
2009,"30","Monaco",":mc: Monaco","mco","mc","0","39683","39683"
2009,"31","Estonia",":ee: Estonia","est","ee","0","32372","32372"
2009,"32","Greece",":gr: Greece","grc","gr","0","28860","28860"
2009,"33","Slovenia",":si: Slovenia","svn","si","0","27924","27924"
2009,"34","Philippines",":ph: Philippines","phl","ph","20000","0","20000"
2009,"35","Andorra",":ad: Andorra","and","ad","11095","0","11095"
2009,"36","Slovakia",":sk: Slovakia","svk","sk","0","10538","10538"
2009,"37","Nicaragua",":ni: Nicaragua","nic","ni","5000","0","5000"
2009,"38","Bahamas",":bs: Bahamas","bhs","bs","0","2000","2000"
