"Year","Rank","DonorName","CountryCode","Earmarked","UnEarmarked","Total"
2011,"1","United Kingdom","GBR","2815595","37526414","40342009"
2011,"2","Sweden","SWE","13983217","18792080","32775297"
2011,"3","United States","USA","23105704","3940000","27045704"
2011,"4","Norway","NOR","8472393","15726790","24199183"
2011,"5","European Commission","EU","17304618","0","17304618"
2011,"6","Australia","AUS","1067014","7013985","8080999"
2011,"7","Canada","CAN","5987295","1013625","7000920"
2011,"8","Netherlands","NLD","0","6250000","6250000"
2011,"9","Spain","ESP","5633800","0","5633800"
2011,"10","Switzerland","CHE","4219972","1051525","5271497"
2011,"11","Japan","JPN","2820000","1919138","4739138"
2011,"12","New Zealand","NZL","0","4574400","4574400"
2011,"13","Finland","FIN","0","4120879","4120879"
2011,"14","Germany","DEU","2569212","1365201","3934413"
2011,"15","Ireland","IRL","1612941","2214690","3827631"
2011,"16","Denmark","DNK","0","3674135","3674135"
2011,"17","Belgium","BEL","1333334","1481481","2814815"
2011,"18","Russian Federation","RUS","1100000","800000","1900000"
2011,"19","France","FRA","285307","1185185","1470492"
2011,"20","United Arab Emirates","ARE","1252330","20000","1272330"
2011,"21","India","IND","1000000","0","1000000"
2011,"22","Luxembourg","LUX","0","993964","993964"
2011,"23","Italy","ITA","666667","0","666667"
2011,"24","Poland","POL","437025","113208","550233"
2011,"25","Multi-Donor Funds","A","527918","0","527918"
2011,"26","Korea, Republic of","KOR","0","500000","500000"
2011,"27","Austria","AUT","274348","154930","429278"
2011,"28","South Africa","ZAF","136240","0","136240"
2011,"29","Congo","COG","125949","0","125949"
2011,"30","Czech Republic","CZE","0","112568","112568"
2011,"31","Iceland","ISL","0","103212","103212"
2011,"32","Chile","CHL","100000","0","100000"
2011,"33","Hungary","HUN","50000","10667","60667"
2011,"34","Liechtenstein","LIE","56561","0","56561"
2011,"35","Andorra","AND","56533","0","56533"
2011,"36","Qatar","QAT","55000","0","55000"
2011,"37","Monaco","MCO","0","53426","53426"
2011,"38","Estonia","EST","0","35506","35506"
2011,"39","Guyana","GUY","25000","0","25000"
2011,"40","Kazakhstan","KAZ","24964","0","24964"
2011,"41","Singapore","SGP","0","20000","20000"
2011,"42","Greece","GRC","0","19711","19711"
2011,"43","Slovenia","SVN","14306","0","14306"
2011,"44","Private Contributions","PRI_CON","1218","0","1218"
2011,"45","Afghanistan","AFG","0","1000","1000"
